хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
2019-03-12,'000502,бл╬╟©ь╧и,8.39,8.54,8.09,8.21,8.13,0.26,3.198,2.3987,4397961,36789101.15,1550636502.73,1538303202.73
2019-03-11,'000502,бл╬╟©ь╧и,8.13,8.14,7.72,7.79,7.79,0.34,4.3646,1.8698,3428348,27133498.89,1502583404.91,1490632304.91
2019-03-08,'000502,бл╬╟©ь╧и,7.79,8.29,7.61,8.29,8.34,-0.55,-6.5947,2.3827,4368744,35168869.52,1439744738.53,1428293438.53
2019-03-07,'000502,бл╬╟©ь╧и,8.34,8.39,8.12,8.2,8.22,0.12,1.4599,1.7948,3290803,27219886.85,1541395522.38,1529135722.38
2019-03-06,'000502,бл╬╟©ь╧и,8.22,8.25,8.0,8.13,8.13,0.09,1.107,1.4687,2692841,21923877.46,1519217169.54,1507133769.54
2019-03-05,'000502,бл╬╟©ь╧и,8.13,8.13,7.96,7.98,7.94,0.19,2.3929,1.2596,2309494,18558669.02,1502583404.91,1490632304.91
2019-03-04,'000502,бл╬╟©ь╧и,7.94,8.1,7.92,7.92,7.88,0.06,0.7614,1.6883,3095434,24844520.03,1467467679.58,1455795879.58
2019-03-01,'000502,бл╬╟©ь╧и,7.88,8.0,7.81,7.96,8.01,-0.13,-1.623,0.8832,1619312,12797982.6,1456378503.16,1444794903.16
2019-02-28,'000502,бл╬╟©ь╧и,8.01,8.05,7.83,7.88,7.81,0.2,2.5608,1.5513,2844323,22615492.78,1480405052.07,1468630352.07
2019-02-27,'000502,бл╬╟©ь╧и,7.81,8.07,7.79,7.82,7.84,-0.03,-0.3827,1.6351,2998020,23804957.57,1443441130.67,1431960430.67
2019-02-26,'000502,бл╬╟©ь╧и,7.84,7.97,7.8,7.93,7.92,-0.08,-1.0101,1.5337,2812067,22113323.77,1448985718.88,1437460918.88
