日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-03-12,'002946,新乳业,24.07,24.59,22.45,22.7,22.99,1.08,4.6977,47.0427,40160830,937620385.64,20548815730.6,2054881582.69
2019-03-11,'002946,新乳业,22.99,23.95,21.51,23.58,23.17,-0.18,-0.7769,40.8453,34870062,789475066.94,19626808211.3,1962680830.33
2019-03-08,'002946,新乳业,23.17,25.31,22.0,23.01,23.01,0.16,0.6953,64.9875,55480548,1328365445.04,19780476131.2,1978047622.39
2019-03-07,'002946,新乳业,23.01,23.01,20.48,20.6,20.92,2.09,9.9904,35.534,30335723,659146957.67,19643882424.7,1964388251.67
2019-03-06,'002946,新乳业,20.92,21.49,19.92,20.03,20.2,0.72,3.5644,44.5014,37991320,785677272.61,17859627132.7,1785962721.64
2019-03-05,'002946,新乳业,20.2,20.8,19.8,20.19,20.04,0.16,0.7984,34.1099,29120011,589160753.64,17244955453.2,1724495553.4
2019-03-04,'002946,新乳业,20.04,21.2,19.5,19.87,19.9,0.14,0.7035,43.8915,37470647,759100903.66,17108361746.6,1710836182.68
2019-03-01,'002946,新乳业,19.9,19.99,19.15,19.15,19.39,0.51,2.6302,27.3148,23318948,458569288.7,16988842253.4,1698884233.3
2019-02-28,'002946,新乳业,19.39,20.33,19.2,19.95,20.49,-1.1,-5.3685,29.0698,24817177,491336875.29,16553449813.7,1655344989.13
2019-02-27,'002946,新乳业,20.49,20.5,18.54,19.1,19.78,0.71,3.5895,47.4199,40482869,791072632.17,17492531546.3,1749253162.83
2019-02-26,'002946,新乳业,19.78,20.89,19.5,19.6,19.8,-0.02,-0.101,55.026,46976322,951441790.8,16886396973.5,1688639705.26
2019-02-25,'002946,新乳业,19.8,19.96,18.41,18.52,18.91,0.89,4.7065,47.9693,40951867,792898371.28,16903471186.8,1690347126.6
2019-02-22,'002946,新乳业,18.91,19.6,18.77,19.05,19.92,-1.01,-5.0703,43.5058,37141333,708830977.69,16143668694.1,1614366876.97
2019-02-21,'002946,新乳业,19.92,20.39,17.77,18.55,18.99,0.93,4.8973,61.0906,52153732,987195407.74,17005916466.7,1700591654.64
2019-02-20,'002946,新乳业,18.99,20.96,18.68,20.5,19.05,-0.06,-0.315,67.9937,58046921,1170597112.65,16211965547.3,1621196562.33
2019-02-19,'002946,新乳业,19.05,19.77,17.9,18.03,18.37,0.68,3.7017,56.7732,48467927,913902951.97,16263188187.3,1626318826.35
2019-02-18,'002946,新乳业,18.37,18.46,17.41,17.97,18.08,0.29,1.604,47.6298,40662048,731792872.26,15682664934.4,1568266500.79
2019-02-15,'002946,新乳业,18.08,18.88,17.03,17.3,17.8,0.28,1.573,61.1346,52191265,927572195.24,15435088841.3,1543508891.36
2019-02-14,'002946,新乳业,17.8,18.49,16.9,17.68,16.84,0.96,5.7007,73.4453,62701059,1098838767.05,15196049854.8,1519604992.6
2019-02-13,'002946,新乳业,16.84,16.84,16.84,16.84,15.31,1.53,9.9935,2.1359,1823477,30707352.68,14376487615.4,1437648768.28
2019-02-12,'002946,新乳业,15.31,15.31,15.31,15.31,13.92,1.39,9.9856,0.635,542143,8300209.33,13070310296.5,1307031035.77
2019-02-11,'002946,新乳业,13.92,13.92,13.92,13.92,12.65,1.27,10.0395,0.8802,751401,10459501.92,11883652470.7,1188365252.64
2019-02-01,'002946,新乳业,12.65,12.65,12.65,12.65,11.5,1.15,10.0,1.1922,1017752,12874562.8,10799439924.9,1079943997.55
2019-01-31,'002946,新乳业,11.5,11.5,11.5,11.5,10.45,1.05,10.0478,0.7506,640811,7369326.5,9817672659.0,981767270.5
2019-01-30,'002946,新乳业,10.45,10.45,10.45,10.45,9.5,0.95,10.0,0.3565,304355,3180509.75,8921276459.7,892127650.15
2019-01-29,'002946,新乳业,9.5,9.5,9.5,9.5,8.64,0.86,9.9537,0.2704,230822,2192809.0,8110251327.0,811025136.5
2019-01-28,'002946,新乳业,8.64,8.64,8.64,8.64,7.85,0.79,10.0637,0.077,65762,568183.68,7376060154.24,737606018.88
2019-01-25,'002946,N新乳业,7.85,7.85,6.54,6.54,5.45,2.4,44.0367,0.1212,103502,811627.7,6701628728.1,670162875.95
