æª÷µ»’∆⁄ µ•Œªæª÷µ ¿€º∆æª÷µ »’‘ˆ≥§¬  …Íπ∫◊¥Ã¨  Íªÿ◊¥Ã¨ ∑÷∫ÏÀÕ≈‰
2019-02-28 1.0988 1.0988 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-27 1.0988 1.0988 -0.16% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-26 1.1006 1.1006 -0.11% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-25 1.1018 1.1018 0.15% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-22 1.1001 1.1001 0.05% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-21 1.0995 1.0995 -0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-20 1.0999 1.0999 -0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-19 1.1001 1.1001 -0.21% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-18 1.1024 1.1024 0.16% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-15 1.1006 1.1006 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-14 1.1005 1.1005 0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-13 1.1003 1.1003 0.09% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-12 1.0993 1.0993 0.05% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-11 1.0987 1.0987 0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-02-01 1.0980 1.0980 0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-31 1.0976 1.0976 0.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-30 1.0973 1.0973 0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-29 1.0969 1.0969 0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-28 1.0965 1.0965 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-25 1.0964 1.0964 0.16% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-24 1.0947 1.0947 0.05% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-23 1.0941 1.0941 0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-22 1.0939 1.0939 0.07% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-21 1.0931 1.0931 0.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-18 1.0928 1.0928 0.08% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-17 1.0919 1.0919 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-16 1.0918 1.0918 0.05% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-15 1.0913 1.0913 0.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-14 1.0910 1.0910 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-11 1.0910 1.0910 0.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-10 1.0907 1.0907 0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-09 1.0901 1.0901 0.09% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-08 1.0891 1.0891 0.07% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-07 1.0883 1.0883 0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-04 1.0876 1.0876 0.12% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-03 1.0863 1.0863 0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2019-01-02 1.0857 1.0857 0.11% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-31 1.0847 1.0847 -- ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-28 1.0845 1.0845 0.08% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-27 1.0836 1.0836 -0.05% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-26 1.0841 1.0841 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-25 1.0840 1.0840 0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-24 1.0836 1.0836 0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-21 1.0829 1.0829 0.05% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-20 1.0824 1.0824 -0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-19 1.0828 1.0828 0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-18 1.0821 1.0821 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-17 1.0821 1.0821 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-14 1.0820 1.0820 -0.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-13 1.0823 1.0823 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-12 1.0823 1.0823 0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-11 1.0821 1.0821 0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-10 1.0817 1.0817 0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-07 1.0811 1.0811 0.05% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-06 1.0806 1.0806 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-05 1.0805 1.0805 0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-04 1.0803 1.0803 0.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-12-03 1.0800 1.0800 0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-30 1.0794 1.0794 0.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-29 1.0791 1.0791 -0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-28 1.0792 1.0792 0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-27 1.0790 1.0790 -0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-26 1.0791 1.0791 0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-23 1.0789 1.0789 -0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-22 1.0790 1.0790 0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-21 1.0788 1.0788 0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-20 1.0786 1.0786 -0.08% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-19 1.0795 1.0795 0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-16 1.0791 1.0791 0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-15 1.0787 1.0787 0.21% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-14 1.0764 1.0764 0.17% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-13 1.0746 1.0746 0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-12 1.0740 1.0740 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-09 1.0739 1.0739 0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-08 1.0735 1.0735 0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-07 1.0729 1.0729 0.07% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-06 1.0721 1.0721 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-05 1.0721 1.0721 0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-02 1.0719 1.0719 0.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-11-01 1.0716 1.0716 0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-10-31 1.0714 1.0714 0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-10-30 1.0708 1.0708 0.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-10-29 1.0705 1.0705 -0.07% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-10-26 1.0712 1.0712 -0.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-10-25 1.0715 1.0715 0.10% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-10-24 1.0704 1.0704 0.09% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-10-23 1.0694 1.0694 -0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-10-22 1.0700 1.0700 0.20% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-10-19 1.0679 1.0679 0.25% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-10-18 1.0652 1.0652 -0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-10-17 1.0653 1.0653 0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-10-16 1.0651 1.0651 0.08% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-10-15 1.0643 1.0643 -0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-10-12 1.0645 1.0645 0.14% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-10-11 1.0630 1.0630 -0.21% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-10-10 1.0652 1.0652 0.03% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-10-09 1.0649 1.0649 -0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-10-08 1.0651 1.0651 -0.14% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-09-28 1.0666 1.0666 0.11% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-09-27 1.0654 1.0654 0.09% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-09-26 1.0644 1.0644 0.08% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-09-25 1.0636 1.0636 0.08% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-09-21 1.0627 1.0627 0.22% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-09-20 1.0604 1.0604 -0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-09-19 1.0608 1.0608 0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-09-18 1.0602 1.0602 0.05% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-09-17 1.0597 1.0597 -0.08% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-09-14 1.0606 1.0606 0.02% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-09-13 1.0604 1.0604 0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-09-12 1.0600 1.0600 -0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-09-11 1.0606 1.0606 -0.08% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-09-10 1.0614 1.0614 -0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-09-07 1.0620 1.0620 -0.07% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-09-06 1.0627 1.0627 -0.11% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-09-05 1.0639 1.0639 -0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-09-04 1.0640 1.0640 0.05% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-09-03 1.0635 1.0635 0.00% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-08-31 1.0635 1.0635 0.14% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-08-30 1.0620 1.0620 -0.12% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-08-29 1.0633 1.0633 -0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-08-28 1.0639 1.0639 0.04% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-08-27 1.0635 1.0635 0.18% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-08-24 1.0616 1.0616 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-08-23 1.0615 1.0615 0.09% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-08-22 1.0605 1.0605 -0.07% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-08-21 1.0612 1.0612 0.06% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-08-20 1.0606 1.0606 -0.10% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-08-17 1.0617 1.0617 -0.16% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
2018-08-16 1.0634 1.0634 0.01% ‘›Õ£…Íπ∫ ‘›Õ£ Íªÿ
